s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Spin Boldak –  Chaman,1,Z6,34.122641,71.093202,Bamyan,AF10,34.798638,67.233704,4223
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Kapisa,AF02,34.962936,69.622633,4203
Pul-e-Abrisham (Milak),1,Z8,30.96555,61.823383,Sar-e-Pul,AF22,35.732534,66.13302,3946
Nazar Posta,1,Z9,30.955879,66.437425,Laghman,AF07,34.762935,70.170187,3901
Islam Qala - Taybad,1,Z5,34.70799,61.00488,Kandahar,AF27,31.052452,65.712547,3890
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Nangarhar,AF06,34.272868,70.472553,3799
Nazar Posta,1,Z9,30.955879,66.437425,Parwan,AF03,34.958537,68.886329,3715
Spin Boldak –  Chaman,1,Z6,30.955879,66.437425,Sar-e-Pul,AF22,35.732534,66.13302,3642
Ghulam Khan,1,Z4,34.70799,61.00488,Samangan,AF20,35.989962,67.746321,3608
Spin Boldak –  Chaman,1,Z6,34.122641,71.093202,Wardak,AF04,34.292078,68.20295,3519
Pul-e-Abrisham (Milak),1,Z8,30.96555,61.823383,Daykundi,AF24,33.764021,66.184738,3345
Ghulam Khan,1,Z4,34.70799,61.00488,Kapisa,AF02,34.962936,69.622633,3269
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Samangan,AF20,35.989962,67.746321,3211
Spin Boldak –  Chaman,1,Z6,34.122641,71.093202,Paktika,AF12,32.481676,68.751118,3196
Spin Boldak –  Chaman,1,Z6,30.955879,66.437425,Badghis,AF31,35.139966,63.677186,3153
Nazar Posta,1,Z9,30.955879,66.437425,Badakhshan,AF17,37.038272,71.457808,3112
Bahramcha,1,Z3,33.150936,70.029985,Paktika,AF12,32.481676,68.751118,3078
Pul-e-Abrisham (Milak),1,Z8,30.96555,61.823383,Kandahar,AF27,31.052452,65.712547,2999
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Takhar,AF18,36.702307,69.776281,2756
Nazar Posta,1,Z9,30.955879,66.437425,Kapisa,AF02,34.962936,69.622633,2548
Pul-e-Abrisham (Milak),1,Z8,30.96555,61.823383,Jawzjan,AF28,36.828418,65.841324,2476
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Badakhshan,AF17,37.038272,71.457808,2450
Nazar Posta,1,Z9,30.955879,66.437425,Kunar,AF15,34.94148,71.098978,2375
Spin Boldak –  Chaman,1,Z6,30.955879,66.437425,Ghor,AF23,34.223853,64.928959,2337
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Bamyan,AF10,34.798638,67.233704,2276
